source,compiler,profile,cmenu,size,unit,exact,mnemonics_equal
indexed,1.3,nostrength,96.572845,1192,99.13965,101,False
indexed,1.3,nodeadstore,96.572845,1192,98.991325,96,False
indexed,1.3.2,configured,96.572845,1192,99.78933,113,False
indexed,1.3.2,level0,44.09934,1404,68.61254,28,False
indexed,1.3.2,level1,62.79139,1276,79.41794,34,False
indexed,1.3.2,level2,72.08278,1176,90.81545,42,False
indexed,1.3.2,level3,96.572845,1192,99.543335,104,False
indexed,1.3.2,peephole,91.18543,1164,96.03011,42,False
indexed,1.3.2,schedule,78.38411,1192,64.80332,29,False
indexed,1.3.2,defaults,76.46689,1164,61.420704,22,False
indexed,1.3.2,space,83.73179,1060,97.03836,79,False
indexed,1.3.2,auto,96.572845,1192,86.68186,97,False
indexed,1.3.2,nopropagation,93.78808,1212,97.83588,78,False
indexed,1.3.2,nocse,85.5894,1264,95.58616,66,False
indexed,1.3.2,nolifetimes,94.069534,1192,99.5379,101,False
indexed,1.3.2,noloopinvariants,96.572845,1192,98.982285,102,False
indexed,1.3.2,nostrength,96.572845,1192,98.9859,99,False
indexed,1.3.2,nodeadstore,96.572845,1192,98.84237,94,False
indexed,2.0,configured,96.572845,1192,99.78933,113,False
indexed,2.0,level0,44.09934,1404,68.61254,28,False
indexed,2.0,level1,62.79139,1276,79.41794,34,False
indexed,2.0,level2,72.08278,1176,90.81545,42,False
indexed,2.0,level3,96.572845,1192,99.543335,104,False
indexed,2.0,peephole,91.18543,1164,96.03011,42,False
indexed,2.0,schedule,78.38411,1192,64.80332,29,False
indexed,2.0,defaults,76.46689,1164,61.420704,22,False
indexed,2.0,space,83.73179,1060,97.03836,79,False
indexed,2.0,auto,96.572845,1192,86.68186,97,False
indexed,2.0,nopropagation,93.78808,1212,97.83588,78,False
indexed,2.0,nocse,85.5894,1264,95.58616,66,False
indexed,2.0,nolifetimes,94.069534,1192,99.5379,101,False
indexed,2.0,noloopinvariants,96.572845,1192,98.982285,102,False
indexed,2.0,nostrength,96.572845,1192,98.9859,99,False
indexed,2.0,nodeadstore,96.572845,1192,98.84237,94,False
shared,1.2.5n,configured,57.331127,1020,86.33271,25,False
shared,1.2.5n,level0,9.619205,1208,67.47779,23,False
shared,1.2.5n,level1,17.7649,1196,73.840614,24,False
shared,1.2.5n,level2,38.73841,920,82.654945,24,False
shared,1.2.5n,level3,58.874172,1000,86.69591,25,False
shared,1.2.5n,peephole,56.910595,944,81.74411,33,False
shared,1.2.5n,schedule,52.460266,1016,58.560196,22,False
shared,1.2.5n,defaults,50.546356,940,55.36538,25,False
shared,1.2.5n,space,44.649006,932,84.34638,25,False
shared,1.2.5n,auto,57.331127,1020,86.23174,25,False
shared,1.2.5n,nopropagation,50.450333,1116,85.666435,25,False
shared,1.2.5n,nocse,48.94371,1084,84.482735,25,False
