unit,function,retail_size,gc13_fuzzy_percent,currently_source_linked
main/dlls/objects/662_WCTempleDia/WCTempleDia,wctempledia_update,612,97.64706,True
main/dlls/objects/663_WCTempleBri/WCTempleBri,wctemplebri_SeqFn,660,97.545456,True
main/dlls/objects/663_WCTempleBri/WCTempleBri,wctemplebri_update,704,97.954544,True
main/main/gameloop,cacheAllocAndCopy,212,96.98113,True
main/main/gameloop_main,mainGetBit,308,97.14286,True
main/main/modelEngine,gameTimerRun,1376,99.65116,True
main/main/objhits,ObjHits_AddContactObject,104,92.11539,False
main/main/objlib,ObjPath_GetPointWorldPosition,444,99.0991,True
main/main/thp/n_options,AttractMovieAudio_DmaCallback,372,96.451614,True
main/track/intersect_render,objFrozenRenderCb,2160,96.388885,False
main/track/intersect_render,objModelProjectedIndirectRenderCb,2028,96.15385,False
main/track/intersect_render,renderWhirlpool,2500,96.88,False
main/track/intersect_render,setupWaterReflectionTev,1604,95.361595,False
