address,section,size_bytes,class,subtype_reason,likely_owner,owner_confidence
0x803CA278,.bss,88,bss,zero-init,,-
0x803CAAD0,.bss,704,bss,zero-init,,-
0x803CB190,.bss,256,bss,zero-init,,-
0x803CC8C0,.bss,80,bss,zero-init,,-
0x803CD760,.bss,192,bss,zero-init,,-
0x803D3CA0,.bss,1992,bss,zero-init,,-
0x803D68EC,.bss,52,bss,zero-init,,-
0x803D82F8,.bss,168,bss,zero-init,,-
0x803D87D0,.bss,168,bss,zero-init,,-
0x803D8880,.bss,8,bss,zero-init,,-
0x803DAAB0,.bss,8,bss,zero-init,,-
0x803DABF0,.bss,1520,bss,zero-init,,-
0x803DB1E0,.sdata,4944,const-data,small const / rodata,OSAlloc.c,med
0x803DC580,.sdata,8,const-data,small const / rodata,fstload.c,high
0x803DC600,.sdata,48,const-data,small const / rodata,GXTexture.c,high
0x803DC648,.sdata,342,const-data,small const / rodata,printf.c,high
0x803DC7A0,.sbss,5688,bss,zero-init,,-
0x803DDE98,.sbss,8,bss,zero-init,,-
0x803DDEE8,.sbss,32,bss,zero-init,,-
0x803DE060,.sbss,8,bss,zero-init,,-
0x803DE094,.sbss,20,bss,zero-init,,-
0x803DE0DC,.sbss,36,bss,zero-init,,-
0x803DE218,.sbss,432,bss,zero-init,,-
0x803DE3E4,.sbss,12,bss,zero-init,,-
0x803DE408,.sbss,8,bss,zero-init,,-
0x803DE414,.sbss,208,bss,zero-init,,-
0x803DE500,.sdata2,6904,float-pool,read-only const/float pool (.sdata2),dll_0025_effect12.c,med
0x803E0000,.sdata2,152,float-pool,read-only const/float pool (.sdata2),dll_0025_effect12.c,high
0x803E00A8,.sdata2,208,float-pool,read-only const/float pool (.sdata2),dll_0027_effect14.c,high
0x803E0180,.sdata2,2056,float-pool,read-only const/float pool (.sdata2),dll_0028_effect15.c,high
0x803E0990,.sdata2,1560,float-pool,read-only const/float pool (.sdata2),dll_00A3_dlla3func0.c,high
0x803E0FB0,.sdata2,48,float-pool,read-only const/float pool (.sdata2),dll_0085_dll85func0.c,high
0x803E0FE8,.sdata2,120,float-pool,read-only const/float pool (.sdata2),dll_0086_dll86func0.c,high
0x803E10B0,.sdata2,40,float-pool,read-only const/float pool (.sdata2),dll_008B_dll8bfunc0.c,high
0x803E10E0,.sdata2,144,float-pool,read-only const/float pool (.sdata2),dll_008C_dll8cfunc0.c,high
0x803E1178,.sdata2,544,float-pool,read-only const/float pool (.sdata2),dll_008E_dll8efunc0.c,high
0x803E13A0,.sdata2,80,float-pool,read-only const/float pool (.sdata2),dll_009A_dll9afunc0.c,high
0x803E13F8,.sdata2,136,float-pool,read-only const/float pool (.sdata2),dll_009C_dll9cfunc0.c,high
0x803E1488,.sdata2,160,float-pool,read-only const/float pool (.sdata2),dll_009F_dll9ffunc0.c,high
0x803E1530,.sdata2,56,float-pool,read-only const/float pool (.sdata2),dll_00A5_dlla5func0.c,high
0x803E1570,.sdata2,32,float-pool,read-only const/float pool (.sdata2),dll_00A6_dlla6func0.c,high
0x803E1598,.sdata2,200,float-pool,read-only const/float pool (.sdata2),dll_00A7_dlla7func0.c,high
0x803E1668,.sdata2,808,float-pool,read-only const/float pool (.sdata2),dll_b8.c,high
0x803E19A0,.sdata2,1024,float-pool,read-only const/float pool (.sdata2),dll_004B_cameramodeclimb.c,high
0x803E1DD0,.sdata2,40,float-pool,read-only const/float pool (.sdata2),dll_0036_entersavenamescreen.c,high
0x803E1E00,.sdata2,4632,float-pool,read-only const/float pool (.sdata2),dll_0038_weirdunusedmenu.c,high
0x803E3020,.sdata2,1272,float-pool,read-only const/float pool (.sdata2),landedarwing.c,high
0x803E3528,.sdata2,2304,float-pool,read-only const/float pool (.sdata2),dll_00EE_effectbox.c,high
0x803E3E30,.sdata2,168,float-pool,read-only const/float pool (.sdata2),dll_012A_cfcrate.c,high
0x803E3EE0,.sdata2,24,float-pool,read-only const/float pool (.sdata2),warppad.c,high
0x803E3F00,.sdata2,704,float-pool,read-only const/float pool (.sdata2),dll_012E_cflightwall.c,high
0x803E41C8,.sdata2,64,float-pool,read-only const/float pool (.sdata2),dll_0149_cfwindlift.c,high
0x803E4210,.sdata2,96,float-pool,read-only const/float pool (.sdata2),dll_014B_cfmaincrystal.c,high
0x803E4280,.sdata2,16,float-pool,read-only const/float pool (.sdata2),dll_014E_cfprisonguard.c,high
0x803E4298,.sdata2,248,float-pool,read-only const/float pool (.sdata2),dll_014F_cfprisonuncle.c,high
0x803E43B8,.sdata2,40,float-pool,read-only const/float pool (.sdata2),dll_015B_cfforcefield.c,high
0x803E43E8,.sdata2,952,float-pool,read-only const/float pool (.sdata2),dll_0162_cfmagicwall.c,high
0x803E47A8,.sdata2,176,float-pool,read-only const/float pool (.sdata2),dll_016F_imspacethruster.c,high
0x803E4860,.sdata2,1400,float-pool,read-only const/float pool (.sdata2),dll_01C1_dimsnowball.c,high
0x803E4DE0,.sdata2,104,float-pool,read-only const/float pool (.sdata2),dll_0174_ccriverflow.c,high
0x803E4E50,.sdata2,928,float-pool,read-only const/float pool (.sdata2),dll_0177_dfshdoor2speci.c,high
0x803E51F8,.sdata2,424,float-pool,read-only const/float pool (.sdata2),dll_019E_dim_tricky.c,high
0x803E53A8,.sdata2,2360,float-pool,read-only const/float pool (.sdata2),dll_01AA_bombplantspore.c,high
0x803E5CE8,.sdata2,280,float-pool,read-only const/float pool (.sdata2),dll_01F9_wmobjcreator.c,high
0x803E5E08,.sdata2,96,float-pool,read-only const/float pool (.sdata2),dll_0204_wmtorch.c,high
0x803E5E70,.sdata2,24,float-pool,read-only const/float pool (.sdata2),dll_0207_wmworm.c,high
0x803E5E90,.sdata2,104,float-pool,read-only const/float pool (.sdata2),dll_0209_wmlevelcontrol.c,high
