## US10 -> KIOSK (.text), mapped on side A via GSAE01
TU                                                   sites    delta  functions touched
dlls/objects/704/704.c                                   5     -2d0  titleScreenPlayActorSfx, TitleScreen_free, TitleScreen_render, TitleScreen_update, TitleScreen_initialise
main/dll_80136a40.c                                      6     -5d0  debugPrintDrawGlyph[NEWFN], debugTextDrawToFrameBuffer, debugPrintfxy, errorThreadFunc
dlls/objects/196_Tricky/tricky.c                       238    -1128  trickySetSoundSuppressed, Tricky_requestRecallAndCheckBusy, trickyFindNearestUsableBaddie, Tricky_emitQueuedPathParticles, trickySelectQueuedCommandTarget, trickyUpdateCollisionAndPathState, trickyTurnTowardYaw, moveTricky, trickyRequestMove, trickyFindNearestLinkedRouteEntry, trickyFindPathRouteEntry, trickySelectRouteEntry, trickyRankLinkedRouteCandidates, skeetla_spawnLinkedSparks, trickyAdjustStepAroundPoint, trickyUpdateMovementState, trickyUpdateApproachSpeed, trickyGrowl, trickyUpdateCircling, tricky_fetchBall, tricky_trackTumbleweed, trickyGuard, trickyGuardFindBaddieTarget, trickyFlame, tricky_updateBallRoll, trickyDigTunnel, tricky_stateFindSecretDig, tricky_stateFollowPlayer, tricky_substateApproachThorntail, tricky_substateBegForFood, tricky_substateDigForFood, tricky_substateIdlePick, tricky_substateWaitMoveEnd, tricky_substateHowlCall, tricky_substateSleep, tricky_substateFollowIdle, tricky_updateIdleBehavior, tricky_pickAmbientActivity, tricky_startRandomIdleMove, tricky_handleFeedOrTalk, tricky_handlePlayerContact, tricky_stateIdleWander, tricky_attachToWalkGroup, tricky_SeqFn, Tricky_requestRecall, Tricky_isGuarding, Tricky_commandPlayBall, Tricky_updateSideCommandPrompts, Tricky_getAvailableCommands, Tricky_free, Tricky_render, Tricky_hitDetect, Tricky_update, Tricky_init
dlls/objects/201_Baddie/Baddie.c                        75     -a20  Tricky_resumeAfterCommand, tricky_handleDefeat, baddie_updateWhileFrozen, baddie_spawnRewardDrops, baddie_canSeeTarget, baddie_updateSightQuadrants, Tricky_applyFloorResponse, enemyObjAnimUpdate, baddie_updateEngagementState, enemy_SeqFn, sidekickToy_updateCurveTargetLatch, enemy_setHealthZero, enemy_steerVelocityToward, sidekickToy_accelerateTowardTarget3D, sidekickToy_accelerateTowardTargetXZ, baddieTurnTowardLookDir, enemy_free, enemy_render, enemy_update, enemy_init
dlls/objects/202/sharpclaw.c                            24     -27c  wispBaddieProcessAnimEvent, wispBaddieQueueNextEvent, sharpClawHandleHitMessage, sharpClawUpdateIdle, sharpClawUpdateApproach, sharpClawUpdateAttack, sharpClawInit, groundBaddieHandlePaidTrigger
dlls/objects/202/guardclaw.c                             2     -1e4  groundBaddiePushPlayerOut
dlls/objects/202/gcrobotpatrol.c                         9      +68  gcRobotPatrol_updateWhileFrozen, gcRobotPatrol_update, gcRobotPatrol_init
dlls/objects/202/mikaladon.c                             2      -10  mikaladon_update
dlls/objects/202/vambat.c                                7     -16c  vambat_updateIdle, vambat_updateEngaged, vambat_init, magicplantSpawnMovePuffs
dlls/objects/202/kooshy.c                                5      -8c  kooshy_spawnProjectile, kooshy_updateIdle
dlls/objects/202/weevil.c                                6      -14  weevil_updateWhileFrozen, weevil_updateIdle, weevil_updateEngaged
dlls/objects/202/pinpon.c                                6     +2c8  baddieSpawnWaterRipple, pinPon_updateWhileFrozen[NEWFN], pinPon_updateIdle, pinPon_updateEngaged
dlls/objects/202/rachnop.c                               3      -10  rachnopUpdateIdle, rachnopUpdateApproach, rachnopUpdateAttack
dlls/objects/202/spittingeba.c                          10      -64  spittingEbaSpawnPollen, spittingEbaUpdateTimeOfDay, spittingEbaUpdateWhileFrozen, spittingEbaUpdateIdle
dlls/objects/202/wb.c                                    5      -44  wbUpdateEngaged, wbUpdateIdle
dlls/objects/202/mutatedeba.c                            4     -110  mutatedEbaPlayMoveSfx, mutatedEbaUpdateEngaged, mutatedEbaUpdateIdle
dlls/objects/202/firecrawler.c                          18     -884  crawler_checkNearbyActive[NEWFN], crawler_updateC, crawler_updateB, crawler_update, crawler_initModelVariant
dlls/objects/202/hagabon_mk2.c                           7     -2c4  hagabonMK2_updateB, hagabonMK2_update
dlls/objects/202/snowworm.c                              1     -9e4  snowworm_spawnProjectile
dlls/objects/202/202.c                                   4      -20  iceBaddie_spawnIceBall, iceBaddie_tryAcquireTarget
dlls/objects/206/206.c                                   1      -10  dll_CE_spawnIceBall
dlls/objects/204_ChukChuk/ChukChuk.c                     4      -58  chukChuk_spawnAimedIceBall, ChukChuk_update
dlls/objects/207_CannonClaw/CannonClaw.c                 2      +84  cannonclaw_update
dlls/objects/209_TumbleWeedB/TumbleWeedB.c               9      -dc  tumbleweedbush_spawnSibling, TumbleWeedBush_update, tumbleweed_fall, tumbleweed_updateStateMachine, tumbleweed_updateEffects
dlls/objects/213_Kaldachom/Kaldachom.c                  22      +3c  kaldachom_stateHandlerB05, kaldachom_stateHandlerB02, kaldachom_stateHandlerB01, kaldachom_stateHandlerB00, kaldachom_stateHandlerA07, kaldachom_stateHandlerA01, kaldachom_spawnDustEffects, kaldachom_spawnMouthProjectile, kaldachom_updateCombat[NEWFN], kaldachom_update
dlls/objects/214_KaldachomMe/KaldachomMe.c               1     -4ac  kaldachomme_setLinkedMouthMode
dlls/objects/215/215.c                                   6       +8  KaldachomSpit_update, KaldachomSpit_init
dlls/objects/217_Pollen/Pollen.c                         1      -14  Pollen_burst
dlls/objects/218/218.c                                  19      +18  pollenfragment_hitDetect, pollenfragment_update, pollenfragment_init
dlls/objects/219_MikaBomb/MikaBomb.c                     2      -1c  MikaBomb_init
dlls/objects/220_MikaBombSha/MikaBombSha.c               1       -4  MikaBombShadow_init
dlls/objects/198_AnimatedObj/AnimatedObj.c               3     -17c  animatedobj_free, animatedobj_update
dlls/objects/199_DIM2RoofRub/DIM2RoofRub.c               2      -64  dim2roofrub_update
dlls/objects/226/226.c                                  12      -e4  staffUpdateAttackEffects, staffStartQuakeSpell, staff_hitDetectGeometry, staff_update, staff_init, staff_release, staff_initialise
dlls/objects/227/227.c                                   8     +ea0  Fireball_getColorIndex, Fireball_render, Fireball_hitDetect, Fireball_update
dlls/objects/228/228.c                                   4     +fdc  FlameThrowerspe_render, FlameThrowerspe_update, FlameThrowerspe_init
dlls/objects/229/229.c                                   3     -28c  Shield_render
dlls/objects/247/247.c                                   1      -10  dll_F7_update
dlls/objects/234_Sideload/Sideload.c                     1      -10  sideload_update
dlls/objects/237/237.c                                  21     -198  collectible_setPosition, collectible_setDisabled, collectible_applyPickup, collectible_updateLooseMotion, collectible_updateIdleMotion, collectible_SeqFn, collectible_checkProximityPickup, collectible_render, collectible_update, collectible_init
dlls/objects/255/255.c                                   7      -78  MagicDust_update, MagicDust_init
dlls/objects/239/239.c                                  23     -5fc  pushable_updateCurtain, pushable_initWcPushBlock, pushable_resolveCollisions, pushable_SeqFn, pushable_push, pushable_free, pushable_hitDetect, pushable_init
dlls/objects/240_WarpPoint/WarpPoint.c                   6      -dc  WarpPoint_getObjectTypeId, WarpPoint_update, WarpPoint_init
dlls/objects/241_InvHit/InvHit.c                         2     +138  InvHit_update
dlls/objects/242_iceblast/iceblast.c                     2       +c  iceblast_update
dlls/objects/243_flameblast/flameblast.c                 6      -68  flameblast_seedVelocity, flameblast_render, flameblast_update, flameblast_init
dlls/objects/244/244.c                                  12      -e4  DoorF4_SeqFn, DoorF4_free, DoorF4_update, DoorF4_init
dlls/objects/245_SidekickBal/SidekickBal.c              10     -284  sidekickBall_handlePlayerInteraction, sidekickBall_launch, SidekickBall_update, trickyBallMove, SidekickBall_init
dlls/objects/249/249.c                                   5     -184  ProjectileSwitch_hitDetect, ProjectileSwitch_init
dlls/objects/250_InvisibleHi/InvisibleHi.c               1     -100  InvisibleHitSwitch_init
dlls/objects/251/251.c                                   7      -30  PressureSwitchFB_update, PressureSwitchFB_init
dlls/objects/272/272.c                                   2      -54  Door_animEventCallback, Door_init
dlls/objects/271_MMP_Bridge/MMP_Bridge.c                 1       -8  MMP_Bridge_release
dlls/objects/273/273.c                                   1      -10  DoorLock_update
dlls/objects/274/274.c                                   2      -64  objCallOnLoadCallback, SeqObject_update
dlls/objects/278_WM_Column/WM_Column.c                   1     -2c8  WM_Column_getExtraSize
dlls/objects/279_AppleOnTree/AppleOnTree.c               2      -40  appleontree_handleCollectableHit, AppleOnTree_update
dlls/objects/254_MagicPlant/MagicPlant.c                 2      -c0  MagicPlant_spawnChild, MagicPlant_update
dlls/objects/258_StayPoint/StayPoint.c                   2      -4c  StayPoint_update, StayPoint_init
dlls/objects/280_Duster/Duster.c                         7      -d0  duster_update
dlls/objects/260_SmallBasket/SmallBasket.c              13     -178  SmallBasket_handleHit, SmallBasket_spawnContents, SmallBasket_resolveCollision, SmallBasket_throw, SmallBasket_update
dlls/objects/261_LargeCrate/LargeCrate.c                 5      -bc  LargeCrate_spawnDropContents, LargeCrate_update, LargeCrate_init
dlls/objects/262/262.c                                  24     -12c  Scarab_resolveCollision, Scarab_free, Scarab_render, Scarab_update, Scarab_init
dlls/objects/263/263.c                                   1      +2c  windLift107_init
dlls/objects/269_PortalSpell/PortalSpell.c               3      +98  PortalSpellDoor_update, PortalSpellDoor_init
dlls/objects/268_LanternFire/LanternFire.c               9      +a4  LanternFireFly_releaseFromLantern, LanternFireFly_update
dlls/objects/267_FireFlyLant/FireFlyLant.c               4     -110  FireFlyLantern_spawnFireFly, FireFlyLantern_SeqFn, FireFlyLantern_update
dlls/objects/231/231.c                                   6      -50  FlammableVine_hitDetect, FlammableVine_update, FlammableVine_init
dlls/objects/265/265.c                                   3      -10  breakableCarryable_update
dlls/objects/266_Fall_Ladder/Fall_Ladder.c               3      -28  Fall_Ladders_update, Fall_Ladders_init
dlls/objects/281_coldWaterCo/coldWaterCo.c               1      +3c  ColdWaterControl_update
dlls/objects/282/282.c                                   1     -35c  decoration11a_hitDetect
dlls/objects/283_Landed_Arwi/Landed_Arwi.c              12     -2b0  landed_arwing_getExtraSize, Landed_Arwing_SeqFn, landed_arwing_update, landed_arwing_init, landed_arwing_updateHitReaction, landed_arwing_updateDamageTexture
dlls/objects/284/284.c                                   5      -1c  staffactivated_spawnMapEventDebris, staffactivated_update, staffactivated_init
dlls/objects/285/285.c                                   7     -19c  TreasureChest_SeqFn, TreasureChest_update, TreasureChest_init
dlls/objects/286_MagicCaveBo/MagicCaveBo.c               2      -20  MagicCaveBottom_update
dlls/objects/287_MagicCaveTo/MagicCaveTo.c               8     -1b8  MagicCaveTop_free, MagicCaveTop_update
dlls/objects/292/292.c                                   5      -88  DeathGas_free, DeathGas_update, DeathGas_init
dlls/objects/291_fuelCell/fuelCell.c                     9      -98  FuelCell_render, FuelCell_update
dlls/objects/270/270.c                                   1     -58c  DeathSeq_free
dlls/objects/297_CampFire/CampFire.c                     3     +50c  CampFire_free, CampFire_init
dlls/objects/298_CFCrate/CFCrate.c                      12    +1758  CFCrate_getExtraSize[NEWFN], CFCrate_render, CFCrate_update, CFCrate_init
dlls/objects/304_AreaFXEmit/AreaFXEmit.c                 1     +564  AreaFXEmit_init[NEWFN]
dlls/objects/300_Transporter/Transporter.c              18      +70  Transporter_updateEffects[NEWFN], Transporter_updateInteraction, Transporter_sequenceCallback, Transporter_render, Transporter_hitDetect, Transporter_init
dlls/objects/303_BarrelPad/BarrelPad.c                   1      +9c  BarrelPad_getExtraSize
dlls/objects/305/305.c                                   1     +d4c  CF_DoorLight_init[NEWFN]
dlls/objects/312_GroundAnima/GroundAnima.c               8      -90  GroundAnimator_isFullySunk, GroundAnimator_applyPress, GroundAnimator_update, GroundAnimator_init
dlls/objects/313_HitAnimator/HitAnimator.c               3     +270  HitAnimator_applyBlockState[NEWFN]
dlls/objects/315_WallAnimato/WallAnimato.c               3     -1cc  WallAnimator_applyImpact, WallAnimator_init
dlls/objects/316_XYZAnimator/XYZAnimator.c              12      -e0  XyzAnimator_free, XyzAnimator_update, XyzAnimator_init
dlls/objects/319_TexFrameAni/TexFrameAni.c               1     +a70  TexFrameAnimator_getExtraSize[NEWFN]
dlls/objects/320_fogControl/fogControl.c                 5     -428  FogControl_free, FogControl_update
dlls/objects/306_WaterFallSp/WaterFallSp.c               4      -34  WaterFallSpray_update, WaterFallSpray_init
dlls/objects/307_sfxPlayer/sfxPlayer.c                   2      -50  SfxPlayer_update
dlls/objects/294/294.c                                  25      +dc  MmpGyservent_setup, objInterpretSeq, Trigger_free, Trigger_hitDetect, Trigger_init
dlls/objects/328_CFGuardian/CFGuardian.c                24     +288  cfguardian_updateMain, cfguardian_sequenceCallback, cfguardian_init
dlls/objects/329/329.c                                   7     -178  windLift_updateRider, windLift_free, windLift_update, windLift_init
dlls/objects/330_CFPowerBase/CFPowerBase.c               6      -34  cfPowerBase_sequenceCallback, cfPowerBase_update, cfPowerBase_init
dlls/objects/331_CFMainCryst/CFMainCryst.c               8     +1c8  cfMainCrystal_updateBeams
dlls/objects/332/332.c                                  14     -364  babyCloudRunner_updateBurrowAnimation, babyCloudRunner_turnTowardTarget, babyCloudRunner_sequenceCallback, babyCloudRunner_update
dlls/objects/334_CFPrisonGua/CFPrisonGua.c               4       +4  cfPrisonGuard_sequenceCallback, cfPrisonGuard_update
dlls/objects/336_GCRobotLigh/GCRobotLigh.c               4      -c8  gcRobotLightBeam_free, gcRobotLightBeam_update, gcRobotLightBeam_init
dlls/objects/340/340.c                                   1      -54  cfPrisonCage_hitDetect
dlls/objects/343_SpiritDoorS/SpiritDoorS.c               1       +0  spiritDoorSpirit_update
dlls/objects/344/344.c                                  28     -468  gunpowderBarrel_canBeGrabbed, gunpowderBarrel_launchAtTarget, gunpowderBarrel_addThrowVelocity, gunpowderBarrel_triggerExplosion, gunpowderBarrel_updatePhysics, gunpowderBarrel_free, gunpowderBarrel_hitDetect, gunpowderBarrel_update, gunpowderBarrel_init
dlls/objects/346/346.c                                   1      -1c  explodable_spawnFragmentObject
dlls/objects/347_CFForceFiel/CFForceFiel.c               5      -8c  cfforcefield_update
dlls/objects/356_CFLevelCont/CFLevelCont.c               3     -564  cflevelcontrol_sequenceCallback, cflevelcontrol_update
dlls/objects/359_SpiritDoorL/SpiritDoorL.c               6      -1c  SpiritDoorLock_free, SpiritDoorLock_update, SpiritDoorLock_init
dlls/objects/381/381.c                                   1      -18  rollingBarrel_update
dlls/objects/382_MMP_levelco/MMP_levelco.c               3     -1dc  mmpLevelControl_processAnimEvents, mmpLevelControl_update
dlls/objects/384_MMP_asteroi/MMP_asteroi.c               5      +98  mmpAsteroidRe_processAnimEvents, mmpAsteroidRe_update, mmpAsteroidRe_init
dlls/objects/386_MMP_moonroc/MMP_moonroc.c              21     -208  mmpMoonRock_handleImpact, mmpMoonRock_reconcilePlacement, mmpMoonRock_update, mmpMoonRock_init
dlls/objects/387_MMP_gyserve/MMP_gyserve.c               2      -10  mmpGeyserVent_update
dlls/objects/603_MSPlantingS/MSPlantingS.c              11     +1b8  MoonSeedPlantingSpot_update, MoonSeedPlantingSpot_init
dlls/objects/390_CCgasventCo/CCgasventCo.c               4      -5c  ccGasVentControl_update
dlls/objects/391_CCqueen/CCqueen.c                       3     -170  ccQueen_getExtraSize, ccQueen_update
dlls/objects/392_CClightfoot/CClightfoot.c               4     -440  ccLightfoot_free, ccLightfoot_update
dlls/objects/393_CCSharpclaw/CCSharpclaw.c               1      -f0  ccSharpClawPad_update
dlls/objects/394_CCpedstal/CCpedstal.c                   2      +1c  ccPedestal_updateFireGemSource, ccPedestal_init
dlls/objects/395_CClevcontro/CClevcontro.c               3     -1b8  ccLevelControl_free, ccLevelControl_update
dlls/objects/361_IMIceMounta/IMIceMounta.c              12      -e0  IMIceMountain_exitWorldMap, IMIceMountain_updateEventState, IMIceMountain_sequenceCallback, IMIceMountain_update, IMIceMountain_init
dlls/objects/362_CRrockfall/CRrockfall.c                 4      -30  crrockfall_update, crrockfall_init
dlls/objects/364/364.c                                   5      -3c  imSnowClaw_sequenceCallback, imSnowClaw_update
dlls/objects/369_IMSpaceRing/IMSpaceRing.c               1      -10  imSpaceRingGenerator_update
dlls/objects/370_LINKB_levco/LINKB_levco.c               6     +290  linkbLevelControl_update, linkbLevelControl_init
dlls/objects/446/446.c                                   6      +48  lavaball1be_relaunch, lavaball1be_free, lavaball1be_update, lavaball1be_init
dlls/objects/447_DIMLavaBall/DIMLavaBall.c               4      +84  lavaball1bf_free, lavaball1bf_update
dlls/objects/448_DIMLogFire/DIMLogFire.c                 5     -264  DIMLogFire_free, DIMLogFire_render, DIMLogFire_update
dlls/objects/450_DIMSnowBall/DIMSnowBall.c               1      -10  dimsnowball1c2_update
dlls/objects/452_DIMIceWall/DIMIceWall.c                 2     -22c  dimicewall_update
dlls/objects/454_DIMCannon/DIMCannon.c                  12     -20c  DIMCannon_updateBall, DIMCannon_spawnBall, DIMCannon_SeqFn, DIMCannon_update, DIMCannon_init
dlls/objects/457_DIMDismount/DIMDismount.c               2     -11c  DIMDismountPoint_render, DIMDismountPoint_init
dlls/objects/458_DIMExplosio/DIMExplosio.c              11      -f4  explosion_spawnFlame, explosion_computeColor, explosion_update, explosion_init
dlls/objects/462/462.c                                   1      -10  dll_1CE_update
dlls/objects/460_DIMMagicBri/DIMMagicBri.c               5     -2d8  dimmagicbridge_updateVertexWave, dimmagicbridge_SeqFn, dimmagicbridge_update, dimmagicbridge_init
dlls/objects/461_DIM_LevelCo/DIM_LevelCo.c               1      -f0  dim_levelcontrol_update
dlls/objects/465_DIMTruthHor/DIMTruthHor.c               1     -27c  dimtruthhornice_update
dlls/objects/469_DIM2Conveyo/DIM2Conveyo.c               1       -8  dim2conveyor_init
dlls/objects/471_DIM2SnowBal/DIM2SnowBal.c               2      +20  dim2snowball_update
dlls/objects/472_DIM2PathGen/DIM2PathGen.c               5      -10  DIM2PathGenerator_update
dlls/objects/474/474.c                                   1     +604  dll_1DA_getObjectTypeId[NEWFN]
dlls/objects/476_DIM2IceFloe/DIM2IceFloe.c               3      -34  dim2icefloe_update
dlls/objects/478_DIM2LavaCon/DIM2LavaCon.c               5     -210  dim2lavacontrol_tickCountdown, dim2lavacontrol_free, dim2lavacontrol_update, dim2lavacontrol_init
dlls/objects/480_DIM_Boss/DIM_Boss.c                    42     -444  DIMbossAnim_updateBossHitReaction, DIMbossAnim_finishDefeat, DIMbossHitDetect_tonsilSlam, DIMbossHitDetect_liftSlam, DIMbossHitDetect_blueWhiteCapture, DIMbossHitDetect_blueWhiteEventCapture, DIMboss_spawnBlueWhiteEffect, DIMboss_createStateLight, DIMboss_updateSequenceEffects, DIMboss_updateWarpAndEffects, DIMboss_updateHitResponse, DIMboss_updateCombatState, DIMboss_updateState, DIMboss_free, DIMboss_render, DIMboss_update, DIMboss_init
dlls/objects/482_DIM_BossTon/DIM_BossTon.c              15     -248  DIMbosstonsil_chooseHitReaction, DIMbosstonsil_checkHit, DIMbosstonsil_SeqFn, DIMbosstonsil_free, DIMbosstonsil_render, DIMbosstonsil_update, DIMbosstonsil_init
dlls/objects/483_DIM_BossGut/DIM_BossGut.c               4      -d4  DIM_BossGut2_free, DIM_BossGut2_update, DIM_BossGut2_init
dlls/objects/485_DIM_BossSpi/DIM_BossSpi.c               9     -138  DIMbossspit_updateBurst, DIMbossspit_update, DIMbossspit_init
dlls/objects/484_MAGICMaker/MAGICMaker.c                 1      -38  magicmaker_update
dlls/objects/487_DIMbossfire/DIMbossfire.c               2       -c  dimbossfire_update
dlls/objects/373_DFropenode/DFropenode.c                 8      -60  DFropenode_render
dlls/objects/376_DFSH_Shrine/DFSH_Shrine.c               7     +3c0  dfshShrine_processAnimEvents, dfshShrine_update
dlls/objects/378_SpiritPrize/SpiritPrize.c               4     -13c  spiritPrize_update, spiritPrize_init
dlls/objects/377_DFSH_ObjCre/DFSH_ObjCre.c               1      -10  dfshObjCreator_update
dlls/objects/396_MMSH_Shrine/MMSH_Shrine.c               3     -1c0  mmshShrine_updateFearSway, mmshShrine_update, mmshShrine_init
dlls/objects/397_MMSH_Scales/MMSH_Scales.c               1      -10  mmshScales_init
dlls/objects/398_MMSH_WaterS/MMSH_WaterS.c               1       -c  mmshWaterSpike_update
dlls/objects/399_ECSH_Shrine/ECSH_Shrine.c               9      +34  ecshShrine_processAnimEvents, ecshShrine_free, ecshShrine_update, ecshShrine_init
dlls/objects/401_ECSH_Creato/ECSH_Creato.c               1      -10  ecshCreator_update
dlls/objects/402_GPSH_Shrine/GPSH_Shrine.c               3     -1e4  gpshShrine_updateHoverMotion, gpshShrine_update
dlls/objects/404_GPSH_Scene/GPSH_Scene.c                 1     +9f4  gpshScene_init
dlls/objects/405_DBSH_Shrine/DBSH_Shrine.c               3     +460  dbshShrine_processAnimEvents, dbshShrine_update
dlls/objects/406_DBSH_Symbol/DBSH_Symbol.c               6      +e8  dbshSymbol_processAnimEvents, dbshSymbol_update
dlls/objects/408_NWSH_levcon/NWSH_levcon.c               2      +5c  nwshLevelControl_processAnimEvents
dlls/objects/410/410.c                                   1      -10  dll410_update
dlls/objects/412/412.c                                   1      -10  dll412_update
dlls/objects/413/413.c                                   1     +848  dll413_getExtraSize[NEWFN]
dlls/objects/415_NW_treebrid/NW_treebrid.c               2      +20  nwTreeBridge_init
dlls/objects/417/417.c                                  24     -364  NW_mammoth_processAnimEvents, NW_mammoth_updateSleepCycle, NW_mammoth_updateGatekeeper, NW_mammoth_updateArtifactQuest, NW_mammoth_free, NW_mammoth_update, NW_mammoth_init
dlls/objects/420/420.c                                   3      -4c  NW_ice_free, NW_ice_update, NW_ice_init
dlls/objects/421_NW_levcontr/NW_levcontr.c              11      -d8  nwLevelControl_update, nwLevelControl_init
dlls/objects/423/423.c                                  19     -100  EdibleMushroom_animEventCallback, EdibleMushroom_updateBehavior, EdibleMushroom_hitDetect, EdibleMushroom_update, EdibleMushroom_init
dlls/objects/424_SH_killermu/SH_killermu.c              14     -1c0  EnemyMushroom_free, EnemyMushroom_update, EnemyMushroom_init
dlls/objects/425_BombPlant/BombPlant.c                   5      -90  BombPlant_animEventCallback, BombPlant_free, BombPlant_update
dlls/objects/426_BombPlantSp/BombPlantSp.c               9      -dc  BombPlantSpore_update, BombPlantSpore_init
dlls/objects/427_BombPlantin/BombPlantin.c               1      -14  BombPlantingSpot_update
dlls/objects/428_SH_queenear/SH_queenear.c               4     +22c  sh_queenearthwalker_processAnimEvents[NEWFN], sh_queenearthwalker_updateFeeding, sh_queenearthwalker_update
dlls/objects/429_SH_thorntai/SHthorntail.c              18     -1cc  SHthorntail_updateState, SHthorntail_updateRootControlMode3, SHthorntail_updateRootControlMode2, SHthorntail_updateLevelControlMode1, SHthorntail_updateLevelControlMode0, SHthorntail_updateLevelControlState, SHthorntail_update
dlls/objects/432_SH_swapston/SH_swapston.c              14     -3a4  warpstone_updateDustEffects, warpstone_testEvent, warpstone_SeqFn, warpstone_render, warpstone_init
dlls/objects/430_SH_LevelCon/SH_LevelCon.c              14     -978  SH_LevelControl_free, SH_LevelControl_sequenceCallback, SH_LevelControl_updateTotemPuzzleMapState, SH_LevelControl_runBloopEvent, SH_LevelControl_doThornTailEvents, SH_LevelControl_doEarlyScenes, SH_LevelControl_update, SH_LevelControl_init
dlls/objects/431_SH_swaplift/SH_swaplift.c               1      -54  warpstonelift_update
dlls/objects/433_SH_staff/SH_staff.c                    13     -124  sh_staff_free, sh_staff_render, sh_staff_sequenceCallback, sh_staff_deactivate, sh_staff_update
dlls/objects/434_SH_staffHaz/SH_staffHaz.c               1      -44  SH_StaffHaze_render
dlls/objects/435_SH_Beacon/SH_Beacon.c                   9      -24  sh_beacon_sequenceCallback, sh_beacon_update, sh_beacon_init
dlls/objects/438_SC_levelcon/SC_levelcon.c              10     -524  sc_levelcontrol_processAnimEventsCallback, sc_levelcontrol_applyAnimEventState, sc_levelcontrol_update, sc_levelcontrol_init
dlls/objects/439/439.c                                   1      -10  sc_musictree_spawnAmbientEffect
dlls/objects/440_SC_totempol/SC_totempol.c               2      +38  sc_totempole_update
dlls/objects/441_SC_Cloudrun/SC_Cloudrun.c               2      -34  sc_cloudrunnera_update
dlls/objects/442_SC_totempuz/SC_totempuz.c               7     -190  sc_totempuzzle_checkSolvedSequence, sc_totempuzzle_update, sc_totempuzzle_init
dlls/objects/443_SC_totembon/SC_totembon.c               6      -20  sc_totembond_spawnGameBitOrbs, sc_totembond_free, sc_totembond_update
dlls/objects/444_SC_totemstr/SC_totemstr.c              16     -138  sc_totemstrength_animEventCallback, sc_totemstrength_update
dlls/objects/445/445.c                                   4      -64  PaymentKiosk_SeqFn, PaymentKiosk_update, PaymentKiosk_init
dlls/objects/488_SB_Galleon/SB_Galleon.c                11     -100  SB_Galleon_updateFlight, SB_Galleon_updateSkyLighting, SB_Galleon_SeqFn, SB_Galleon_update, SB_Galleon_init
dlls/objects/489_SB_Propelle/SB_Propelle.c               4      -8c  SB_Propeller_render, SB_Propeller_update
dlls/objects/490_SB_ShipHead/SB_ShipHead.c               5      -48  SB_ShipHead_getExtraSize, SB_ShipHead_render, SB_ShipHead_update
dlls/objects/491_SB_ShipMast/SB_ShipMast.c               1       +8  SB_ShipMast_getExtraSize
dlls/objects/492_SB_ShipGun/SB_ShipGun.c                 5      -6c  SB_ShipGun_free, SB_ShipGun_update
dlls/objects/494_SB_CannonBa/SB_CannonBa.c               2       +0  SB_CannonBall_getExtraSize, SB_CannonBall_init
dlls/objects/495_SB_CloudBal/SB_CloudBal.c               1       -8  SB_CloudBall_init
dlls/objects/498_SB_CageKyte/SB_CageKyte.c               1       +c  SB_CageKyte_update
dlls/objects/501/501.c                                   1       -8  dll501_init
dlls/objects/500/500.c                                   5      -50  dll500_free, dll500_update, dll500_init
dlls/objects/502/502.c                                   1       +8  dll502_getExtraSize
dlls/objects/645_SPShop/SPShop.c                         7      -58  shop_buyItem, shop_getItemTextId, shop_getItemSpecialPrice, shop_free, shop_update, shop_init
dlls/objects/646_SPShopKeepe/SPShopKeepe.c              20      -58  ShopKeeper_moveToCurvePoint, ShopKeeper_updateScarabGame, ShopKeeper_updateIdle, ShopKeeper_updateTracking, ShopKeeper_handlePromptChoice, ShopKeeper_startScarabGame, ShopKeeper_SeqFn, ShopKeeper_spawnScarabs
dlls/objects/644/644.c                                   7     -560  shopitem_sparkleBlendSetup, shopitem_SeqFn, shopitem_update
dlls/objects/647_SPScarab/SPScarab.c                     4       +8  SPScarab_update, SPScarab_init
dlls/objects/597/597.c                                  44    +b1e0  SnowBike_DrawTrails, SnowBike_UpdateEngineFx, SnowBike_GetRouteIntensity, SnowBike_UpdateAirMeter, SnowBike_SeqFn, SnowBike_UpdateCollisionResponse, SnowBike_UpdateExhaustFx, SnowBike_UpdateLiftSway, SnowBike_ResetDynamics, SnowBike_resetToRomListPosition, SnowBike_setMountState, SnowBike_hitDetect, SnowBike_init, SnowBike_initialise[NEWFN]
dlls/objects/601_SB_Cloudrun/SB_Cloudrun.c               5      -6c  SB_CloudRunner_SpawnFromPath, SB_CloudRunner_UpdateSteer, SB_CloudRunner_HandlePriorityHit, SB_CloudRunner_render
dlls/objects/505_WM_ObjCreat/WM_ObjCreat.c               1      -10  WM_ObjCreator_update
dlls/objects/510/510.c                                   4     -10c  PressureSwitch_update, PressureSwitch_init
dlls/objects/511/511.c                                   1       -4  dll_1FF_render
dlls/objects/516_WM_Torch/WM_Torch.c                     1     +58c  wmtorch_getExtraSize[NEWFN]
dlls/objects/518_LightSource/LightSource.c               5     +1cc  lightsource_free[NEWFN], lightsource_update, lightsource_init
dlls/objects/519_WM_Worm/WM_Worm.c                       1     +3c0  WM_Worm_release[NEWFN]
dlls/objects/521_WM_LevelCon/WM_LevelCon.c               7     +5bc  WM_LevelControl_updateSkyLighting, WM_LevelControl_getExtraSize, WM_LevelControl_init
