## US10 -> KIOSK (.text), mapped on side A via GSAE01
TU                                                   sites    delta  functions touched
main/pi_dolphin.c                                       62    -189c  initLoadFileReadCb, defragMemory, animCurvTabReadCb, voxMapReadCb, voxMapTabReadCb, blocksTabReadCb, romListReadCb, tex1tab2readCb, tex1tab1readCb, tex1ReadCb, tex0tab2readCb, tex0tab1readCb, tex0readCb, animReadCb, modelsReadCb, animTabReadCb, modelsTabReadCb, mapLoadDataFiles, setLoadedFileFlags_blocks1, loadTableFiles, getTableFileEntry, mapUnload, mergeTableFiles, mapLoadDataFile, loadAndDecompressDataFile, loadDataFiles[NEWFN], piRomLoadSection, tex1GetFrame, mapsBinGetRomlistSize, initLoadFiles, tvInit, gpuErrorHandler, videoBreakPointCallback
main/pi_videoinit.c                                     10      +30  videoInit, GXFlush_, logGpuHang, waitNextFrame
main/pi_pathsearch.c                                     1       +0  pathSearchExpandNode
main/zlb.c                                               1       +0  zlbDecompress
main/shader_dolphin.c                                   35     -908  Shader_getLayer, addWarpedNoiseTevStages, addYUVVideoTevStages, setupCausticBaseTevStages, addShadowFalloffTevStages, addRenderOpFadeStage, addSmallReflectionTevStage, setupHeatShimmerTevStages, addWarpedRingTevStages, renderHeavyFog, addVertexAlphaDimStage, addPointLightDirectStages, addSignedOverlayTexStage, addSphereMapLitStages, addProjectedLightTevStage, addEnvMapTexCoord, addEnvMapBumpStages, addLightTexReg2Stage, addTexLayerStagesLit, addTexLayerStage, addTexLayerStageKColor, addTexLayerStageSwizzled, addVertexColorKAlphaStage, addColorFadeStage, addKColorModulateStage, Rcp_ResetTextureStageState
main/rcp_dolphin.c                                      12      -d4  Rcp_DrawWarpDistortionMesh, Rcp_UpdateDistortionTextures, shaderInit, Rcp_InitDistortionEffects[NEWFN]
main/texture.c                                          15     -590  texRestructRefs, textureUpdateAnimationFrame, textureFree, textureLoad, textureAlloc, loadTextureFiles
main/shader.c                                           64     +1f4  Rcp_DisableHeatEffect, turnOnBlurFilter, loadNextMap, warpToMap, objShouldUnload, mapLoadUnloadObjects, mapUpdateCameraPosByTransformSpace, mapTextureScrollGetOffset, mapTextureScrollAcquire, mapLoadGameTextDir, beginLoadingMap, doPendingMapLoads, mapLoadForObject, mapBuildRomListIndex, mapProcessRomList, mapGetRomListAndOffsets
main/lightmap.c                                         26      -e4  updateVisibleGeometry, getVisibleObjects, renderObjects, sceneDraw, sceneRender, updateEnvironment
main/lightmap_initmapblocks.c                            2       -8  initMapBlocks
main/lightmap_draw.c                                    11      -b4  setWidescreen, setDrawLights, setDrawCloudsAndLights, renderShadowType3, mapBlockRenderWater, mapBlockRenderTransparent, lightmapDrawQueuedObject, sceneDrawTransparentPolys, lightmap_queueExternalRenderEntry
main/tex_dolphin.c                                      27     -15c  mapBlockRender_setLightmapShader, mapBlockBounds_ComputeAndTestPlanes, mapBlockRender_callList, mapBlockRender_setupShaderTextures, mapBlockRender_setShader, renderMapBlock, renderGlows, collectShadowTrackTriangles
main/shadow_dolphin.c                                   12      -f4  buildGroundShadowQuad, objDrawGroundShadow, objDrawShadowCasterMesh, objShadowGetFadedAlpha, objShadowUpdateAlpha, shadowInit
main/track_dolphin.c                                    56     +468  findSurfaceInYRange, trackInvalidateDynamicSlotsForObject, trackSweepCircleAgainstLines, insertPoint, intersectModLineBuild, trackIntersect, trackSetLinesEnabledByParam, trackIntersectRebuildPending, trackCollectGroundHits, trackGetHeight, trackResolveSurfacePenetration, trackSweepSphereAgainstEdge, trackGetIntersect2, trackBuildModelTriangles, trackBuildBlockTriangles, trackIntersectBroadphase, trackGetTriangleBuffer
main/newshadows.c                                       44     +bc0  blendTextures, boxBlurTexture, renderObjectShadowTexture, renderShadows, getNewShadowDistortionTexture, getObjectShadowDrawParams, getReflectionTexture1, updateReflectionTextures[NEWFN], newShadowsBeginFrame, newshadows_getReflectionScrollOffsets[NEWFN], evalNoisePlacements, allocLotsOfTextures, surfaceSfxSelectTrigger, objAudioDispatchEventMask
track/intersect.c                                       12     -11c  objAudioDispatchAnimEvents, surfaceSfxGetRecord, waterFxDraw, waterFxSpawnContactEffect, waterFxInit
track/intersect_screenmath.c                             1      -18  depthReadRequestPoll
track/intersect_render.c                                46    -1c44  renderWhirlpool, doSpiritVisionFilter, doColorFilter, doDistortionFilter, objFrozenRenderCb, setupQuakeSpellRingGxState, setupAdditiveTintedTexture, objModelNormalDiskRenderCb, objCausticReflectionRenderCb, hudDrawRect, drawViewFinderLine, hudDrawTriangle, drawPartialTexture, drawRect, drawScaledTexture, hudDrawColored, drawTexture, objectShadow_setupSwappedProjectedTexture, objectShadow_setupProjectedTexture, objectShadow_setupProjectedTextureChannel, gxSetDebugTextMode, gxTevModulateColor1Stage, gxTevColor1TexAlphaStage, gxTevCommitStages, drawViewFinderAperture, drawSnowFlashOverlay, doHeatEffect, renderMotionBlur, doBlurFilter, setupWaterReflectionTev, setupReflectionIndirectTev, setupReflectionDistortTev, setupReflectionBumpDistortTev, setupWaterCausticTev
track/intersect_memcard.c                                5     -610  cardFormatMemoryCard, cardDeleteSaveFile, cardCreateSaveFile, cardProbe
dlls/engine/2/maketex.c                                 13     -760  saveGameReadSlotCb, saveGame_doWrite, saveGame_prepareAndWrite, loadMemCardImages, saveGame
